Record	Yhat	Residual	Hat	RinvRes	AOMstat
288	6.5224	-1.459	0.1432E-01	-0.5151	-0.7842
289	6.5224	-0.7759E-01	0.1432E-01	0.9183E-01	0.1398
290	6.5224	-0.9221	0.1432E-01	-0.3297	-0.5019
291	6.5224	-1.244	0.1432E-01	-0.5366	-0.8169
292	6.5224	0.8863	0.1432E-01	0.4973	0.7572
293	6.5224	-0.9129	0.1432E-01	-0.6216	-0.9463
294	6.5224	3.410	0.1432E-01	1.583	2.410
295	6.5224	-1.110	0.1432E-01	-0.7741	-1.179
296	6.5224	2.160	0.1432E-01	0.9187	1.399
297	6.5224	1.424	0.1432E-01	0.3729	0.5678
298	6.5224	2.464	0.1432E-01	0.9445	1.438
299	6.5224	0.8962	0.1432E-01	0.4122	0.6276
300	6.5224	-2.923	0.1432E-01	-1.294	-1.986
301	6.5224	-0.1563E-02	0.1432E-01	0.1454	0.2232
302	6.5224	-2.774	0.1432E-01	-1.154	-1.756
303	6.5224	-0.8953	0.1432E-01	-0.2094	-0.3189
304	6.5224	-0.6092	0.1432E-01	-0.2739	-0.4170
305	6.5224	1.088	0.1432E-01	0.4604	0.7009
306	6.5224	0.8147	0.1432E-01	0.4444	0.6765
307	6.5224	-2.828	0.1432E-01	-1.150	-1.752
308	6.5224	-2.216	0.1432E-01	-0.8549	-1.302
309	6.5224	0.8464	0.1432E-01	0.4410	0.6714
310	6.5224	0.8009	0.1432E-01	0.3078	0.4687
311	6.5224	-0.1072	0.1432E-01	-0.2855	-0.4347
312	6.5224	3.738	0.1432E-01	1.575	2.398
313	6.5224	0.9343	0.1432E-01	0.5462E-01	0.8316E-01
314	6.5224	2.904	0.1432E-01	1.423	2.166
315	6.5224	-4.077	0.1432E-01	-1.892	-2.903
316	6.5224	1.825	0.1432E-01	0.8118	1.246
317	6.5224	-0.6340	0.1432E-01	-0.2623	-0.3993
318	6.5224	-2.057	0.1432E-01	-0.7039	-1.072
319	6.5224	-2.910	0.1432E-01	-1.237	-1.883
320	6.5224	1.615	0.1432E-01	0.8427	1.283
321	6.5224	0.1856	0.1432E-01	0.6934E-01	0.1056
322	6.5224	-1.406	0.1432E-01	-0.5655	-0.8609
323	6.5224	-1.004	0.1432E-01	-0.3272	-0.4981
324	6.5224	-0.6320	0.1432E-01	-0.2456	-0.3740
325	6.5224	0.4722	0.1432E-01	0.1814	0.2761
326	6.5224	1.070	0.1432E-01	0.3820	0.5815
327	6.5224	1.069	0.1432E-01	0.3351	0.5102
328	6.5224	1.358	0.1432E-01	0.2329	0.3546
329	6.5224	5.671	0.1432E-01	2.335	3.555
330	6.5224	0.9277	0.1432E-01	0.9688E-01	0.1487
331	6.5224	2.233	0.1432E-01	1.015	1.558
332	6.5224	-1.195	0.1432E-01	-0.6325	-0.9630
333	6.5224	-0.5117E-01	0.1432E-01	0.7493E-02	0.1141E-01
334	6.5224	0.6327	0.1432E-01	0.2902	0.4419
335	6.5224	-0.2585	0.1432E-01	-0.1158	-0.1762
336	6.5224	-0.5602	0.1432E-01	-0.2440	-0.3714
